Case,Total victims,Location,Prior signs of possible mental illness,Type,cloud,Injured,Type of weapons,Mental Health Sources,latitude,Weapon details,Gender,Venue,Summary,tokens,Date,Race,Weapons obtained legally,Mental Health,longitude,Sources,Fatalities,Year,Where obtained
Thurston High School shooting,29,"Springfield, Oregon",Yes,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",25,"Two semiautomatic handguns, one rifle",http://articles.cnn.com/2000-01-21/us/kinkel.revisited_1_kip-kinkel-thurston-high-school-oregon-school-shooting?_s=PM:US,44.0462362,"9mm Glock, .22-caliber Ruger semiautomatic handguns, .22-caliber Ruger rifle",Male,School,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.   ","['expelled', 'gun', 'locker', 'kipland', 'p', 'kinkel', '15', 'freshman', 'thurston', 'high', 'went', 'shooting', 'spree', 'killing', 'parents', 'home', 'two', 'students', 'school', 'five', 'classmates', 'wrestled', 'kipland', 'ground', 'arrested', 'doctors', 'testified', 'paranoid', 'schizophrenic', 'suffered', 'hallucinations']",5/21/1998,white,No,Doctors testified that he was a paranoid schizophrenic who suffered from hallucinations,-123.0220289,http://www.katu.com/news/local/8082147.html; http://www.pbs.org/wgbh/pages/frontline/shows/kinkel/kip/cron.html; http://www.oregonlive.com/special/index.ssf/2008/05/the_suspect_kipland_kinkels_da.html; http://articles.cnn.com/2000-01-21/us/kinkel.revisited_1_kip-kinkel-thurston-high-school-oregon-school-shooting?_s=PM:US,4,1998,"Purchased variously from friend and father, and stolen from father"
Westside Middle School killings,15,"Jonesboro, Arkansas",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",10,"Two semiautomatic handguns, two rifles, three revolvers, two derringers",http://www.nytimes.com/1998/03/29/us/from-wild-talk-and-friendship-to-five-deaths-in-a-schoolyard.html?sec=&spon=&pagewanted=all,35.8209895,"FIE 380, .380-caliber Star semiautomatic handguns; .44 Magnum Ruger, .30-06 Remington 742, .30-caliber Universal M-1 carbine replica rifles; .38-caliber Charter Arms, .357-caliber Ruger Security Six, .38-caliber Smith & Wesson revolvers; .22-caliber Double Deuce Buddie two-shot, .38-caliber Davis Industries two-shot derringers",Male,School,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.","['mitchell', 'scott', 'johnson', '13', 'andrew', 'douglas', 'golden', '11', 'two', 'juveniles', 'ambushed', 'students', 'teachers', 'left', 'school', 'apprehended', 'police', 'scene', 'boys', 'displayed', 'unruly', 'aggressive', 'behavior', 'picked', 'kids', 'made', 'threats', 'killing', 'people']",3/24/1998,white,No,Boys displayed unruly and aggressive behavior. They picked on kids and made threats about killing people. ,-90.6682606,http://www.vpc.org/studies/wgun980324.htm,5,1998,Stolen from grandfather and father
Connecticut Lottery shooting,6,"Newington, Connecticut",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,One semiautomatic handgun,http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm,41.6856325,9mm semiautomatic handgun,Male,Workplace,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.","['lottery', 'worker', 'matthew', 'beck', '35', 'gunned', 'four', 'bosses', 'salary', 'dispute', 'committing', 'suicide', 'hospitalized', 'psychiatric', 'reasons', 'history', 'depression']",3/6/1998,white,Yes,He had been hospitalized for psychiatric reasons and had a history of depression,-72.72983827,http://www.nytimes.com/1998/03/07/nyregion/rampage-connecticut-overview-connecticut-lottery-worker-kills-4-bosses-then.html?pagewanted=all&src=pm; http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm,5,1998,Unknown
Caltrans maintenance yard shooting,7,"Orange, California",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,One rifle (assault),http://articles.latimes.com/1997/dec/20/news/mn-431,33.7877944,7.62mm AK-47 Chinese variant semiautomatic rifle,Male,Workplace,"Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.","['former', 'caltrans', 'employee', 'arturo', 'reyes', 'torres', '41', 'opened', 'fire', 'maintenance', 'yard', 'fired', 'allegedly', 'selling', 'government', 'materials', 'stolen', 'work', 'shot', 'dead', 'police', 'disgruntled', 'fired']",12/18/1997,Latino,Yes,He was disgruntled after being fired. ,-117.8531119,"http://articles.latimes.com/1997/dec/20/news/mn-431; http://articles.latimes.com/1997/dec/22/local/me-1156; http://www.vpc.org/studies/wgun971218.htm; http://news.google.com/newspapers?id=DitZAAAAIBAJ&sjid=LEcNAAAAIBAJ&pg=6705,2243998&dq=arturo+reyes+torres+caltrans&hl=en",5,1997,"B&B Gun Sales in Orange County, Calif."
R.E. Phelon Company shooting,7,"Aiken, South Carolina",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",3,One semiautomatic handgun,http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml,33.5598586,9mm semiautomatic handgun,Male,Workplace,"Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later.","['ex', 'con', 'hastings', 'arthur', 'wise', '43', 'opened', 'fire', 'r', 'e', 'phelon', 'company', 'retaliation', 'fired', 'argument', 'supervisor', 'attempted', 'suicide', 'ingesting', 'insecticide', 'failed', 'executed', 'state', 'south', 'carolina', 'eight', 'years', 'later', 'ex', 'con', 'freed', 'prison', 'although', 'displayed', 'violent', 'tendencies']",9/15/1997,black,No,"An ex-con, he had been freed from prison, although he displayed violent tendencies.",-81.721952,http://www.vpc.org/studies/wgun970915.htm; http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml,4,1997,Unknown
Fort Lauderdale revenge shooting,7,"Fort Lauderdale, Florida",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,"One semiautomatic handgun, one revolver",http://articles.sun-sentinel.com/1996-02-11/news/9602110026_1_beach-crew-maintenance-fort-lauderdale,26.1223084,9mm Glock semiautomatic handgun; .32-caliber revolver,Male,Workplace,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.","['fired', 'city', 'park', 'employee', 'clifton', 'mccree', '41', 'opened', 'fire', 'former', 'coworkers', 'called', 'racist', 'devils', 'inside', 'municipal', 'trailer', 'act', 'revenge', 'failing', 'drug', 'test', 'committed', 'suicide', 'co', 'workers', 'complained', 'threats', 'verbal', 'abuse', 'supervisors', 'asked', 'get', 'psychiatric', 'evaluation', 'lost', 'job', 'relatives', 'said', 'drove', 'depression']",2/9/1996,black,Yes,"Co-workers complained about his threats and verbal abuse. His supervisors asked him to get a psychiatric evaluation. He lost his job, which relatives said drove his depression.",-80.1433786,http://www.nytimes.com/1996/02/11/us/florida-killer-said-victims-were-racists-police-say.html; http://articles.sun-sentinel.com/1996-02-10/news/9602090635_1_million-firearms-multiple-guns-reloading,6,1996,Unknown
Walter Rossler Company massacre,6,"Corpus Christi, Texas",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,"One semiautomatic handgun, one revolver",http://web.caller.com/2000/april/03/today/local_ne/4127.html,27.823713,9mm Ruger semiautomatic handgun; .32-caliber revolver,Male,Workplace,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.","['disgruntled', 'former', 'metallurgist', 'james', 'daniel', 'simpson', '28', 'opened', 'fire', 'throughout', 'walter', 'rossler', 'company', 'worked', 'exiting', 'building', 'committing', 'suicide', 'likely', 'angry', 'given', 'assignment', 'work', 'like', 'acquaintances', 'know', 'come', 'back', 'kill']",4/3/1995,unclear,Yes,He was likely angry because he was given an assignment at work he didn't like. But acquaintances didn't know why he'd come back and kill.,-97.41739794,http://web.caller.com/2000/april/03/today/local_ne/4127.html,6,1995,Unknown
Air Force base shooting,28,"Fairchild Air Force Base, Washington",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",23,One rifle (assault),http://articles.latimes.com/1994-06-22/news/mn-7137_1_air-force,47.61864486,MAK-90 semiautomatic rifle,Male,Military,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.","['former', 'airman', 'dean', 'allen', 'mellberg', '20', 'opened', 'fire', 'inside', 'hospital', 'fairchild', 'air', 'force', 'base', 'shot', 'dead', 'military', 'police', 'officer', 'outside', 'repeatedly', 'diagnosed', 'emotional', 'problems', 'two', 'years', 'service']",6/20/1994,white,Yes,He was repeatedly diagnosed with emotional problems during his two years of service.,-117.6483587,http://articles.latimes.com/1994-06-22/news/mn-7137_1_air-force; http://www.nytimes.com/1994/06/22/us/an-airman-s-revenge-5-minutes-of-terror.html,5,1994,"Gun dealer in Spokane, Wash."
Chuck E. Cheese's killings,5,"Aurora, Colorado",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,One semiautomatic handgun,"http://www.5280.com/magazine/2008/12/politics-killing?page=0,6",39.754713,.25-caliber semiautomatic handgun,Male,Workplace,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row.","['nathan', 'dunlap', '19', 'recently', 'fired', 'chuck', 'e', ""cheese's"", 'employee', 'went', 'rampage', 'former', 'workplace', 'arrested', 'following', 'day', 'now', 'awaits', 'execution', 'death', 'row', 'prison', 'awaiting', 'trial', 'started', 'acting', 'bizarre', 'stripping', 'naked', 'playing', 'feces', 'apparently', 'avoid', 'death', 'penalty', 'state', 'doctor', 'testified', 'dunlap', 'faking', 'mental', 'illness']",12/14/1993,black,Unknown,"While he was in prison awaiting trial, he started acting bizarre by stripping naked and playing with his feces, apparently to avoid the death penalty. A state doctor testified that Dunlap was was faking his mental illness. ",-104.835869,"http://www.denverpost.com/news/ci_20218952/aurora-chuck-e-cheese-killers-appeal-cites-mental; http://abcnews.go.com/US/auroras-massacre-victims-20-year-wait-justice/story?id=16847013; http://www.5280.com/magazine/2008/12/politics-killing?page=0,6 ",4,1993,Unknown
Long Island Rail Road massacre,25,"Garden City, New York",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",19,One semiautomatic handgun,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html,40.7267682,9mm Ruger P89 semiautomatic handgun,Male,Other,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.","['colin', 'ferguson', '35', 'opened', 'fire', 'eastbound', 'long', 'island', 'rail', 'road', 'train', 'approached', 'garden', 'city', 'station', 'later', 'arrested', 'psychiatrists', 'others', 'said', 'suffered', 'racial', 'paranoia', 'obsessed', 'nonexistent', 'conspiracies', 'landlord', 'said', 'delusions', 'grandeur']",12/7/1993,black,Yes,"Psychiatrists and others said he suffered from racial paranoia and was obsessed with nonexistent conspiracies. His landlord said he had ""delusions of grandeur.""",-73.6342955,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html; http://www.vpc.org/studies/wgun931207.htm,6,1993,"Turner's Outdoorsman in Signal Hill, Calif. "
Luigi's shooting,12,"Fayetteville, North Carolina",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",8,"One rifle, two shotguns","http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en",35.0529931,.22-caliber rifle; two 12-gauge shotguns,Male,Other,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.","['army', 'sgt', 'kenneth', 'junior', 'french', '22', 'opened', 'fire', 'inside', ""luigi's"", 'italian', 'restaurant', 'ranting', 'gays', 'military', 'shot', 'arrested', 'police', 'abusive', 'father', 'committed', 'suicide']",8/6/1993,white,Yes,"He had an abusive father, who committed suicide.",-78.8787058,"http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en",4,1993,Unknown
101 California Street shootings,15,"San Francisco, California",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",6,Three semiautomatic handguns (two assault),http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business,37.7789601,"Two Intratec DC-9, .45-caliber Colt semiautomatic handguns",Male,Other,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him.","['failed', 'businessman', 'gian', 'luigi', 'ferri', '55', 'opened', 'fire', 'throughout', 'office', 'building', 'committed', 'suicide', 'inside', 'police', 'pursued', 'luck', 'failed', 'business', 'decisions', 'one', 'acquaintance', 'said', 'least', 'likely', 'guy', 'can', 'imagine', 'something', 'like', 'ex', 'wife', 'said', 'hated', 'violence']",7/1/1993,white,No,"He was down on his luck because of failed business decisions. One acquaintance said, ""He was the least likely guy you can imagine doing something like that.""  His ex-wife said he ""hated violence.""",-122.419199,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm,9,1993,"Super Pawn and Pacific Tactical Weapons, both in Las Vegas, Nev."
Watkins Glen killings,5,"Watkins Glen, New York",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,One semiautomatic handgun,http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html,42.3810555,9mm Llama semiautomatic handgun,Male,Other,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments.","['john', 't', 'miller', '50', 'killed', 'four', 'child', 'support', 'workers', 'county', 'office', 'building', 'turning', 'gun', 'miller', 'upset', 'court', 'order', 'garnishing', 'paycheck', 'cover', 'overdue', 'child', 'support', 'payments', 'day', 'shooting', 'told', 'child', 'support', 'collection', 'office', 'workers', 'considering', 'suicide', 'convicted', 'felonious', 'assault', 'pointing', 'revolver', 'police', 'officers', 'responding', 'domestic', 'violence', 'report', ""girlfriend's"", 'apartment']",10/15/1992,white,Yes,"The day before the shooting, he told child-support collection office workers that he was considering suicide. He had been convicted of felonious assault for pointing a revolver at police officers responding to a domestic violence report at this girlfriend's apartment. ",-76.8705777,http://www.nytimes.com/1992/10/17/nyregion/shooting-followed-tougher-efforts-to-collect-child-support.html?pagewanted=2&src=pm; http://www.nytimes.com/1992/10/16/nyregion/gunman-kills-4-who-collected-child-payments.html?pagewanted=all&src=pm; http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html,5,1992,"Mumford Sports in Litchfield, Ohio"
Lindhurst High School shooting,14,"Olivehurst, California",No,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",10,"One rifle, one shotgun",http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf,39.07868761,.22-caliber sawed-off rifle; 12-gauge pump-action shotgun,Male,School,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.","['former', 'lindhurst', 'high', 'school', 'student', 'eric', 'houston', '20', 'angry', 'various', 'personal', 'failings', 'killed', 'three', 'students', 'teacher', 'school', 'surrendering', 'police', 'eight', 'hour', 'standoff', 'later', 'sentenced', 'death', 'suffered', 'violent', 'physical', 'abuse', 'child', 'claimed', 'teacher', 'sexually', 'abused', 'truth', 'allegation', 'contested']",5/1/1992,white,Yes,"He suffered violent physical abuse as a child. He claimed a teacher had sexually abused him, but the truth of that allegation was contested. ",-121.5475762,http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf; http://www.appeal-democrat.com/news/school-47104-shooting-eckardt.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB0D9D91FC593A0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.sfgate.com/crime/article/Death-verdict-OKd-for-school-slaughter-3758444.php,4,1992,Local gun retailer
Royal Oak postal shootings,10,"Royal Oak, Michigan",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",5,One rifle,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html,42.4894801,.22-caliber Ruger sawed-off semiautomatic rifle,Male,Workplace,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.","['laid', 'postal', 'worker', 'thomas', 'mcilvane', '31', 'opened', 'fire', 'former', 'workplace', 'committing', 'suicide', 'police', 'revoked', 'ccw', 'permit', 'determining', 'mentally', 'unstable']",11/14/1991,white,Yes,Police revoked his CCW permit after determining he was mentally unstable.,-83.1446485,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html,5,1991,Local gun store
University of Iowa shooting,7,"Iowa City, Iowa",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",1,One revolver,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm,41.6606893,.38-caliber Taurus revolver,Male,School,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.","['former', 'graduate', 'student', 'gang', 'lu', '28', 'went', 'rampage', 'campus', 'committed', 'suicide', 'scene', 'described', 'darkly', 'disturbed', 'isolated']",11/1/1991,Asian,Yes,He was described as darkly disturbed and isolated.,-91.5302214,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm,6,1991,"Fin & Feather in Iowa City, Iowa"
